0000002000;scans;0000000052;DataLength
"header";0000000040;"lines"
"Date";26/10/2022;"Time";14:57:02
"ID";"EQP LOW ENERGY #15376";"Version";3
"Scans";1
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";1,00;200,00;1,00;100,000;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"1st-dynode";-3500;"V"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"D.C.quad";-12;"%"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"axis";-40,0;"V"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";70,0;"V"
"emission";2,0000;"uA"
"energy";1,10;"V"
"extractor";304;"V"
"flight-focus";-105;"V"
"focus2";-200;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = normal, 1 = invert)"
"horiz";11;"%"
"lens1";356;"V"
"lens2";-110;"V"
"mass";28,00;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"plates";7,40;"V"
"resolution";0;"%"
"suppressor";-200;"V"
"transit-energy";3,00;"V"
"vert";-34;"%"
"Data";1
"Cycle";"Time";"ms";"mass amu";"SEM c/s"
0000000001;00:00:00;0000000071;    1,00;       170
0000000001;00:00:00;0000000071;    2,00;         0
0000000001;00:00:00;0000000071;    3,00;         0
0000000001;00:00:00;0000000071;    4,00;         0
0000000001;00:00:00;0000000071;    5,00;         0
0000000001;00:00:00;0000000071;    6,00;         0
0000000001;00:00:00;0000000071;    7,00;         0
0000000001;00:00:00;0000000071;    8,00;         0
0000000001;00:00:00;0000000071;    9,00;         0
0000000001;00:00:00;0000000071;   10,00;         0
0000000001;00:00:00;0000000071;   11,00;         0
0000000001;00:00:00;0000000071;   12,00;        80
0000000001;00:00:00;0000000071;   13,00;       110
0000000001;00:00:00;0000000071;   14,00;       160
0000000001;00:00:00;0000000071;   15,00;       240
0000000001;00:00:00;0000000071;   16,00;         0
0000000001;00:00:00;0000000071;   17,00;        30
0000000001;00:00:00;0000000071;   18,00;        60
0000000001;00:00:00;0000000071;   19,00;        20
0000000001;00:00:00;0000000071;   20,00;         0
0000000001;00:00:00;0000000071;   21,00;         0
0000000001;00:00:00;0000000071;   22,00;         0
0000000001;00:00:00;0000000071;   23,00;         0
0000000001;00:00:00;0000000071;   24,00;       440
0000000001;00:00:00;0000000071;   25,00;      1620
0000000001;00:00:00;0000000071;   26,00;      8940
0000000001;00:00:00;0000000071;   27,00;      3450
0000000001;00:00:00;0000000071;   28,00;      7300
0000000001;00:00:00;0000000071;   29,00;      2970
